name,lat,lon,type,amenity,tags
Kidd Neighbourhood School Park,49.13499804773551,-123.10465267803312,nature,nature,{}
King George Park,49.18328261107868,-123.08610969818106,nature,nature,{}
Memorial South Park,49.23098870720285,-123.08522804613641,nature,nature,{}
McKitrick Park,49.14618081102436,-122.91519657913669,nature,nature,{}
Hellings Park,49.16083460074054,-122.89701254313847,nature,nature,{}
Sunbury Park,49.155667743455446,-122.93464410734109,nature,nature,{}
Annieville Lions Park,49.169450324528306,-122.9099302377123,nature,nature,{}
Delview Park,49.16908912292637,-122.89964734558241,nature,nature,{}
Rideau Neighbourhood Park,49.14507168893199,-123.13223779941733,nature,nature,{}
Oppenheimer Park,49.282645443892974,-123.09436156990037,nature,nature,{}
Bakerview Park,49.03571600373479,-122.79724950496482,nature,nature,{}
Philip Jackman Park,49.061248217813464,-122.47372573987417,nature,nature,{}
South Aldergrove Park,49.053958332436586,-122.48346484938709,nature,nature,{}
Creekside Park,49.05233042154437,-122.46494433709722,nature,nature,{}
Semiahmoo Park,49.01589451302632,-122.78436059921071,nature,nature,{}
Confederation Park,49.28639546203926,-122.99920354616856,nature,nature,{}
McGill Park,49.288901286913614,-123.01024256678014,nature,nature,{}
Southmere Village Park,49.03235102365459,-122.80979289531446,nature,nature,{}
David Gray Park,49.21632170274922,-123.00735338405072,nature,nature,{}
Grandview Park,49.27350272422123,-123.07051485406724,nature,nature,{}
Memorial West Park,49.24329307107245,-123.18739225310368,nature,nature,{}
Malkin Park,49.23195902214688,-123.17694393733726,nature,nature,{}
Balaclava Park,49.24503157449948,-123.17508082141484,nature,nature,{}
Victory Square,49.28219957452549,-123.11018474521116,nature,nature,{}
Kingcrest Park,49.2474822292617,-123.0747288633661,nature,nature,{}
Brewers Park,49.247689111331326,-123.06645006974612,nature,nature,{}
Jones Park,49.23597753424734,-123.0670747701354,nature,nature,{}
Nanaimo Park,49.22773297776377,-123.05759476588605,nature,nature,{}
Renfrew Ravine Park,49.24757944941455,-123.04399548136101,nature,nature,{}
Slocan Park,49.24376520948398,-123.04772496217504,nature,nature,{}
Renfrew Community Park,49.252042043338314,-123.04296555027018,nature,nature,{}
Bobolink Park,49.215032568778966,-123.05755924954576,nature,nature,{}
Killarney Park,49.22719818666402,-123.04427936589003,nature,nature,{}
Brentwood Park,49.271517393771035,-122.99560564503311,nature,nature,{}
Beecher Park,49.27373554868514,-122.98923461726332,nature,nature,{}
Wesburn Park,49.242076268323046,-123.01063385755776,nature,nature,{}
Kensington Park,49.27754552704616,-122.97641836440422,nature,nature,{}
Beaconsfield Park,49.25540128910161,-123.05128576092926,nature,nature,{}
Halifax Park,49.268607124755235,-122.961081968119,nature,nature,{}
Sperling Park,49.263677211540134,-122.9613044758106,nature,nature,{}
Tatlow Park,49.270190531832995,-123.16945846295393,nature,nature,{}
Montecito Park,49.265301804346635,-122.95093387887329,nature,nature,{}
Seaview Park,49.28090071138359,-122.87707230612952,nature,nature,{}
John Hendry Park,49.25570551597107,-123.06206803518509,nature,nature,{}
General Brock Park,49.24470000694054,-123.05852740424122,nature,nature,{}
Broadview Park,49.25607468995198,-123.016791828088,nature,nature,{}
Avondale Park,49.2524181499859,-123.0186105523313,nature,nature,{}
Gray Creek Ravine Park,49.21097672317648,-122.99776442393915,nature,nature,{}
Sullivan Park,49.21204119120034,-122.91031678061952,nature,nature,{}
Hilda Park,49.21969926004269,-122.93878693284518,nature,nature,{}
Lewarne Park,49.21552582044011,-122.98355273689035,nature,nature,{}
Ross Park,49.21729240628583,-123.08237704475832,nature,nature,{}
Moberly Park,49.21549020744117,-123.08612621036794,nature,nature,{}
Harwood Park,49.25248162790787,-122.98749869766733,nature,nature,{}
Lakeview Park,49.23129773168234,-122.9450637209978,nature,nature,{}
Malvern Park,49.22808984597909,-122.95235600576113,nature,nature,{}
Kisbey Park,49.22802534819414,-122.97845994333613,nature,nature,{}
Brantford School Park,49.226072959327446,-122.96634590135827,nature,nature,{}
Prince of Wales Park,49.244031688714735,-123.15676346072954,nature,nature,{}
Cafferky Park,49.22430676539509,-122.94433380767998,nature,nature,{}
Mosquito Creek Park,49.327937904364575,-123.09167491321996,nature,nature,{}
Steveston London School Park,49.13868016886966,-123.15316209623377,nature,nature,{}
Palmer/Garden City Neighbourhood School Park,49.153100329997464,-123.12785703496117,nature,nature,{}
Blundell Park,49.153683698925384,-123.15275350117888,nature,nature,{}
Steveston Community Park,49.126495040256835,-123.17720211457332,nature,nature,{}
Richmond Nature Park,49.17326966651492,-123.09761201018563,nature,nature,{}
Bonsor Park,49.22358211881629,-122.9961504665583,nature,nature,{}
Thornton Park,49.27394987041236,-123.09924179406066,nature,nature,{}
George Park,49.21264772166057,-123.09431676786659,nature,nature,{}
John Matthews Creek Ravine Park,49.20854537972645,-122.97963938250025,nature,nature,{}
Green Timbers Urban Forest,49.18096031247668,-122.82083153165067,nature,nature,{}
West Point Grey Park,49.26631950041905,-123.2042000918413,nature,nature,{}
Thompson/Burnett Community Park,49.16358334337681,-123.16618396269526,nature,nature,{}
Hjorth Road Park,49.189603163703524,-122.81445999927985,nature,nature,{}
Richmond Nature Park East,49.1739988837165,-123.08451645655349,nature,nature,{}
Terra Nova Natural Area Park,49.16793091785833,-123.19441380903437,nature,nature,{}
Quilchena Park,49.17130916802416,-123.18787106376031,nature,nature,{}
Whalley Reservoir Park,49.19330427329891,-122.81758118974203,nature,nature,{}
Riverside Park,49.200925760626255,-122.81033157174053,nature,nature,{}
Hummingbird Park,49.20315373305126,-122.80426043094806,nature,nature,{}
Ellendale Park,49.20384463408363,-122.81560344798012,nature,nature,{}
Victoria Park,49.27169311383969,-123.06670213739275,nature,nature,{}
Templeton Park,49.27829462311362,-123.05883618957513,nature,nature,{}
Clinton Park,49.27047460455671,-123.05075204697705,nature,nature,{}
Alice Townley Park,49.26896795335814,-123.07403847490056,nature,nature,{}
China Creek Park North,49.26492349721185,-123.08348657829447,nature,nature,{}
China Creek Park South,49.26161801189973,-123.07897892655109,nature,nature,{}
Rupert Park,49.27129163969103,-123.03125242826994,nature,nature,{}
New Brighton Park,49.290243867470025,-123.03813551984473,nature,nature,{}
Rose Garden,49.26932670168091,-123.25644664371755,nature,nature,{}
Totem Park,49.2594706742307,-123.25409926469695,nature,nature,{}
Rhododendron Wood,49.2567006682187,-123.24686569321935,nature,nature,{}
Devonshire Park,49.245021842687144,-123.13362521652721,nature,nature,{}
Braemar Park,49.2476034583822,-123.12358101791261,nature,nature,{}
Montgomery Park,49.23124768728355,-123.13050791072048,nature,nature,{}
